,ID,Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Functioning Day
0,5274,08/07/2018,2266,17,27.4,44,1.7,2000,14.0,1.17,0.0,0.0,Yes
1,1185,19/01/2018,648,8,-2.5,50,1.0,1281,-11.5,0.0,0.0,0.0,Yes
2,6473,27/08/2018,886,16,24.7,85,1.2,1143,22.0,0.99,0.0,0.0,Yes
3,602,26/12/2017,127,1,-1.5,62,1.3,2000,-7.8,0.0,0.0,0.0,Yes
4,5656,24/07/2018,735,15,35.8,47,2.2,1029,22.7,1.51,0.0,0.0,Yes
5,3516,26/04/2018,930,11,18.1,42,2.7,1112,4.9,2.17,0.0,0.0,Yes
6,5240,07/07/2018,567,7,19.6,57,1.6,2000,10.8,0.42,0.0,0.0,Yes
7,2413,11/03/2018,666,12,9.2,40,2.6,592,-3.7,2.47,0.0,0.0,Yes
8,2463,13/03/2018,705,14,18.3,43,2.2,1509,5.4,2.43,0.0,0.0,Yes
9,3398,21/04/2018,1315,13,24.6,10,2.7,2000,-9.0,3.31,0.0,0.0,Yes
10,5359,12/07/2018,593,6,25.6,93,1.1,852,24.3,0.01,0.0,0.0,Yes
11,1423,29/01/2018,94,6,-10.9,43,1.0,1967,-21.0,0.0,0.0,0.0,Yes
12,1522,02/02/2018,280,9,-6.5,54,1.2,1541,-14.2,0.22,0.0,0.0,Yes
13,2200,02/03/2018,463,15,4.3,22,1.3,1837,-15.6,2.48,0.0,0.0,Yes
14,2674,22/03/2018,653,9,2.5,67,1.3,1472,-3.0,1.11,0.0,0.0,Yes
15,4114,21/05/2018,1118,9,17.7,27,1.3,2000,-1.5,2.02,0.0,0.0,Yes
16,6619,02/09/2018,2118,18,27.9,52,1.7,2000,17.1,0.2,0.0,0.0,Yes
17,167,07/12/2017,389,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,Yes
18,5706,26/07/2018,1394,17,33.1,59,2.9,1038,24.0,1.14,0.0,0.0,Yes
19,5014,27/06/2018,2200,21,23.3,71,1.3,1145,17.7,0.0,0.0,0.0,Yes
20,6358,22/08/2018,1807,21,33.1,46,2.7,2000,19.9,0.0,0.0,0.0,Yes
21,2771,26/03/2018,415,10,10.0,70,1.0,187,4.7,1.57,0.0,0.0,Yes
22,6001,08/08/2018,853,0,29.1,77,2.1,1465,24.6,0.0,0.0,0.0,Yes
23,139,06/12/2017,204,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Yes
24,1547,03/02/2018,144,10,-8.5,43,4.0,1797,-18.8,1.09,0.0,0.2,Yes
25,6764,08/09/2018,1978,19,24.0,41,1.9,2000,9.9,0.1,0.0,0.0,Yes
26,3685,03/05/2018,871,12,14.1,59,3.9,1870,6.1,1.12,0.0,0.0,Yes
27,3298,17/04/2018,1013,9,12.0,39,0.6,1386,-1.5,1.44,0.0,0.0,Yes
28,1525,02/02/2018,303,12,0.9,37,1.5,1283,-12.1,1.12,0.0,0.0,Yes
29,3100,09/04/2018,52,3,1.6,94,0.3,426,0.7,0.0,0.0,0.0,Yes
30,3506,26/04/2018,546,1,12.4,55,1.0,1836,3.5,0.0,0.0,0.0,Yes
31,966,10/01/2018,39,5,-7.3,75,1.6,2000,-10.9,0.0,0.0,0.8,Yes
32,1458,30/01/2018,53,17,-2.4,85,0.3,174,-4.5,0.06,0.0,0.6,Yes
33,104,05/12/2017,381,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,Yes
34,5373,12/07/2018,2214,20,26.9,80,1.5,1806,23.1,0.09,0.0,0.0,Yes
35,955,09/01/2018,558,18,-3.8,58,1.7,1996,-10.8,0.01,0.0,0.0,Yes
36,5231,06/07/2018,1917,22,22.5,54,2.1,2000,12.7,0.0,0.0,0.0,Yes
37,6463,27/08/2018,47,6,20.6,98,0.7,626,20.2,0.0,1.0,0.0,Yes
38,834,04/01/2018,397,17,-2.1,37,1.4,1591,-14.8,0.09,0.0,,Yes
39,4963,25/06/2018,3238,18,30.7,43,nan,931,16.6,0.74,0.0,0.0,Yes
40,4400,02/06/2018,560,7,18.1,59,0.6,789,9.9,0.47,0.0,,Yes
41,2304,06/03/2018,361,23,3.5,44,0.9,1905,-7.6,0.0,0.0,0.0,Yes
42,1750,11/02/2018,119,21,-5.6,69,2.2,1984,-10.3,0.0,0.0,0.0,Yes
43,3861,10/05/2018,0,20,13.6,82,2.1,520,10.5,0.02,0.0,0.0,No
44,745,01/01/2018,206,0,-3.2,40,0.5,1358,-14.9,0.0,0.0,0.0,Yes
45,4560,08/06/2018,1672,23,20.0,79,1.4,510,16.2,0.0,0.0,0.0,Yes
46,6855,12/09/2018,1087,14,26.9,45,1.6,2000,13.9,2.27,0.0,0.0,Yes
47,6146,14/08/2018,681,1,28.9,71,1.2,1982,23.1,0.0,0.0,0.0,Yes
48,5501,18/07/2018,266,4,24.3,83,0.7,621,21.2,0.0,0.0,0.0,Yes
49,3340,19/04/2018,206,3,8.6,53,1.5,1185,-0.4,0.0,0.0,0.0,Yes
50,1244,21/01/2018,223,19,1.3,25,1.3,2000,-16.6,0.0,0.0,0.0,Yes
51,5054,29/06/2018,1117,13,26.8,65,2.0,732,19.6,2.37,,0.0,Yes
52,4692,14/06/2018,735,11,20.5,79,1.7,770,16.7,1.25,0.0,0.0,Yes
53,3760,06/05/2018,770,15,17.8,77,1.6,2000,13.7,1.13,0.0,0.0,Yes
54,5598,22/07/2018,256,5,25.5,72,0.4,2000,20.0,0.0,0.0,0.0,Yes
55,1870,16/02/2018,114,21,0.1,67,2.5,1451,-5.3,0.0,0.0,0.0,Yes
56,5045,29/06/2018,123,4,22.3,96,0.0,278,21.6,0.0,0.1,0.0,Yes
57,4172,23/05/2018,2454,19,18.8,52,3.4,2000,8.7,0.49,0.0,0.0,Yes
58,486,21/12/2017,49,5,-4.3,91,1.5,233,-5.5,0.0,0.0,2.2,Yes
59,3133,10/04/2018,1023,12,20.5,37,4.6,1761,5.2,2.94,0.0,0.0,Yes
60,6045,09/08/2018,1591,20,27.9,78,0.6,1989,23.7,0.03,0.0,0.0,Yes
61,3249,15/04/2018,401,8,7.0,78,0.9,656,3.4,0.56,0.0,0.0,Yes
62,1284,23/01/2018,184,11,-11.7,27,4.0,1935,-26.9,0.94,0.0,1.0,Yes
63,3,01/12/2017,173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Yes
64,2493,14/03/2018,1275,20,17.2,60,2.5,1993,9.3,0.0,0.0,0.0,Yes
65,4884,22/06/2018,1020,11,28.1,35,1.3,1608,11.1,3.02,0.0,0.0,Yes
66,3182,12/04/2018,1029,13,18.1,18,5.1,1939,-6.6,3.2,0.0,0.0,Yes
67,598,25/12/2017,185,21,-1.7,51,1.7,2000,-10.5,0.0,0.0,,Yes
68,1179,19/01/2018,140,2,-0.3,44,1.7,1295,-11.1,0.0,0.0,0.0,Yes
69,3965,15/05/2018,170,4,16.1,74,0.8,440,11.4,0.0,0.0,0.0,Yes
70,3886,11/05/2018,1644,21,16.4,52,1.5,1273,6.5,0.0,0.0,0.0,Yes
71,6507,29/08/2018,243,2,24.2,91,3.6,1735,22.6,0.0,,0.0,Yes
72,3278,16/04/2018,973,13,16.6,30,2.3,1876,-1.0,3.21,0.0,0.0,Yes
73,199,09/12/2017,76,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,Yes
74,4497,06/06/2018,799,8,21.2,59,1.2,794,12.8,1.13,0.0,0.0,Yes
